Date,Open,High,Low,Close,Adj Close,Volume
1995-10-16,5.750000,5.812500,5.750000,5.812500,2.136745,62000
1995-10-17,5.812500,5.812500,5.812500,5.812500,2.136745,53200
1995-10-18,5.781250,5.843750,5.781250,5.812500,2.136745,72000
1995-10-19,5.843750,5.843750,5.812500,5.812500,2.136745,5200
1995-10-20,5.718750,5.718750,5.656250,5.656250,2.079306,16400
1995-10-23,5.468750,5.468750,5.250000,5.250000,1.929963,34000
1995-10-24,5.187500,5.343750,5.125000,5.343750,1.964427,50400
1995-10-25,5.312500,5.312500,5.218750,5.218750,1.918475,65600
1995-10-26,5.281250,5.281250,5.187500,5.187500,1.906988,63200
1995-10-27,5.125000,5.406250,5.125000,5.406250,1.987403,145200
1995-10-30,5.468750,5.500000,5.312500,5.406250,1.987403,65200
1995-10-31,5.656250,5.750000,5.593750,5.625000,2.067818,88400
1995-11-01,5.656250,5.656250,5.562500,5.593750,2.056330,45200
1995-11-02,5.562500,5.687500,5.562500,5.687500,2.090794,13200
1995-11-03,5.718750,5.718750,5.687500,5.718750,2.102282,35200
1995-11-06,5.656250,5.750000,5.656250,5.750000,2.113769,110000
1995-11-07,5.625000,5.687500,5.625000,5.687500,2.090794,16800
1995-11-08,5.656250,5.656250,5.656250,5.656250,2.079306,33600
1995-11-09,5.687500,5.687500,5.593750,5.593750,2.056330,12000
1995-11-10,5.562500,5.593750,5.562500,5.593750,2.056330,11200
1995-11-13,5.625000,5.718750,5.593750,5.718750,2.102282,14000
1995-11-14,5.656250,5.718750,5.656250,5.718750,2.102282,12800
1995-11-15,5.656250,5.656250,5.625000,5.625000,2.067818,5600
1995-11-16,5.718750,5.718750,5.687500,5.687500,2.090794,4800
1995-11-17,5.687500,5.718750,5.687500,5.687500,2.090794,11200
1995-11-20,5.687500,5.750000,5.687500,5.718750,2.102282,10000
1995-11-21,5.718750,5.718750,5.718750,5.718750,2.102282,0
1995-11-22,5.750000,5.750000,5.750000,5.750000,2.113769,1600
1995-11-24,5.781250,5.781250,5.781250,5.781250,2.125257,400
1995-11-27,5.781250,5.812500,5.781250,5.812500,2.136745,8000
1995-11-28,5.750000,5.781250,5.750000,5.781250,2.125257,6800
1995-11-29,5.718750,5.718750,5.718750,5.718750,2.102282,9200
1995-11-30,5.750000,5.750000,5.718750,5.750000,2.113769,18800
1995-12-01,5.750000,5.843750,5.750000,5.812500,2.136745,25200
1995-12-04,5.875000,5.875000,5.843750,5.875000,2.159720,5600
1995-12-05,5.937500,5.937500,5.875000,5.875000,2.159720,16400
1995-12-06,5.906250,5.937500,5.875000,5.906250,2.171209,42400
1995-12-07,5.875000,5.875000,5.875000,5.875000,2.159720,4800
1995-12-08,5.875000,5.875000,5.843750,5.875000,2.159720,7600
1995-12-11,5.843750,5.843750,5.812500,5.812500,2.136745,2800
1995-12-12,5.656250,5.687500,5.625000,5.625000,2.067818,14400
1995-12-13,5.625000,5.625000,5.625000,5.625000,2.067818,6800
1995-12-14,5.625000,5.625000,5.625000,5.625000,2.067818,0
1995-12-15,5.718750,5.718750,5.656250,5.656250,2.079306,7200
1995-12-18,5.562500,5.562500,5.500000,5.500000,2.021866,27200
1995-12-19,5.468750,5.531250,5.468750,5.531250,2.033355,3200
1995-12-20,5.656250,5.656250,5.625000,5.625000,2.067818,3600
1995-12-21,5.625000,5.625000,5.625000,5.625000,2.067818,0
1995-12-22,5.625000,5.687500,5.625000,5.687500,2.090794,2800
1995-12-26,5.687500,5.687500,5.687500,5.687500,2.090794,2400
1995-12-27,5.687500,5.718750,5.687500,5.718750,2.102282,2800
1995-12-28,5.687500,5.750000,5.687500,5.750000,2.113769,2000
1995-12-29,5.750000,5.750000,5.750000,5.750000,2.113769,800
1996-01-02,5.750000,5.781250,5.718750,5.781250,2.125257,7600
1996-01-03,5.750000,5.875000,5.750000,5.843750,2.148234,86800
1996-01-04,5.843750,5.906250,5.843750,5.906250,2.171209,5600
1996-01-05,5.906250,5.906250,5.906250,5.906250,2.171209,2000
1996-01-08,5.906250,5.937500,5.906250,5.937500,2.182697,38800
1996-01-09,5.875000,5.906250,5.875000,5.906250,2.171209,4000
1996-01-10,5.843750,5.843750,5.750000,5.750000,2.113769,15200
1996-01-11,5.750000,5.750000,5.687500,5.718750,2.102282,4000
1996-01-12,5.718750,5.718750,5.718750,5.718750,2.102282,0
1996-01-15,5.781250,5.781250,5.781250,5.781250,2.125257,1600
1996-01-16,5.812500,5.812500,5.781250,5.812500,2.136745,7200
1996-01-17,5.906250,5.906250,5.843750,5.906250,2.171209,20800
1996-01-18,5.906250,5.937500,5.906250,5.937500,2.182697,9600
1996-01-19,5.937500,5.968750,5.937500,5.968750,2.194184,48000
1996-01-22,5.968750,5.968750,5.875000,5.875000,2.159720,15200
1996-01-23,5.875000,5.875000,5.843750,5.843750,2.148234,3200
1996-01-24,5.875000,5.906250,5.875000,5.906250,2.171209,7200
1996-01-25,5.906250,5.906250,5.843750,5.843750,2.148234,8000
1996-01-26,5.781250,5.843750,5.781250,5.843750,2.148234,12800
1996-01-29,5.875000,5.875000,5.875000,5.875000,2.159720,2800
1996-01-30,5.906250,6.031250,5.906250,6.031250,2.217160,39600
1996-01-31,6.031250,6.031250,6.031250,6.031250,2.217160,24000
1996-02-01,6.031250,6.062500,6.031250,6.031250,2.217160,15200
1996-02-02,6.031250,6.062500,6.031250,6.031250,2.217160,9200
1996-02-05,5.906250,5.906250,5.843750,5.906250,2.171209,12800
1996-02-06,5.937500,5.937500,5.937500,5.937500,2.182697,30000
1996-02-07,5.968750,5.968750,5.906250,5.937500,2.182697,10400
1996-02-08,5.968750,6.000000,5.937500,6.000000,2.205671,5200
1996-02-09,5.937500,5.937500,5.906250,5.906250,2.171209,9200
1996-02-12,5.906250,5.968750,5.906250,5.968750,2.194184,18000
1996-02-13,5.937500,6.000000,5.937500,6.000000,2.205671,14000
1996-02-14,6.000000,6.000000,5.906250,5.906250,2.171209,14800
1996-02-15,5.875000,5.875000,5.875000,5.875000,2.159720,6400
1996-02-16,5.812500,5.812500,5.781250,5.812500,2.136745,13200
1996-02-20,5.718750,5.718750,5.593750,5.593750,2.056330,10400
1996-02-21,5.593750,5.593750,5.593750,5.593750,2.056330,0
1996-02-22,5.656250,5.656250,5.625000,5.656250,2.079306,63600
1996-02-23,5.656250,5.656250,5.656250,5.656250,2.079306,2000
1996-02-26,5.656250,5.656250,5.593750,5.625000,2.067818,8400
1996-02-27,5.593750,5.656250,5.593750,5.625000,2.067818,2400
1996-02-28,5.718750,5.750000,5.718750,5.750000,2.113769,9200
1996-02-29,5.750000,5.750000,5.750000,5.750000,2.113769,0
1996-03-01,5.812500,5.812500,5.812500,5.812500,2.136745,800
1996-03-04,5.812500,5.875000,5.812500,5.875000,2.159720,2800
1996-03-05,5.875000,5.875000,5.875000,5.875000,2.159720,0
1996-03-06,5.867188,5.937500,5.867188,5.937500,2.182697,2000
1996-03-07,5.906250,5.906250,5.875000,5.875000,2.159720,7200
1996-03-08,5.812500,5.812500,5.625000,5.718750,2.102282,26800
1996-03-11,5.718750,5.718750,5.687500,5.687500,2.090794,5600
1996-03-12,5.718750,5.718750,5.718750,5.718750,2.102282,400
1996-03-13,5.750000,5.750000,5.750000,5.750000,2.113769,21200
1996-03-14,5.750000,5.750000,5.750000,5.750000,2.113769,0
1996-03-15,5.750000,5.843750,5.750000,5.781250,2.125257,14400
1996-03-18,5.781250,5.812500,5.781250,5.812500,2.136745,18800
1996-03-19,5.875000,5.875000,5.843750,5.843750,2.148234,4400
